ReportingMonth,EntryExitanything,UpperLower,TOTAL VEHICLES,KeyValue
2018-11-01T00:00:00,Entry,Upper Level,1522458,2018-11-01|Entry|Upper Level
2018-11-01T00:00:00,Exit,Lower Level,1888254,2018-11-01|Exit|Lower Level
2018-11-01T00:00:00,Exit,Upper Level,1089237,2018-11-01|Exit|Upper Level
2018-12-01T00:00:00,Entry,Lower Level,1396691,2018-12-01|Entry|Lower Level
2018-12-01T00:00:00,Entry,Upper Level,1575362,2018-12-01|Entry|Upper Level
2018-12-01T00:00:00,Exit,Lower Level,1950674,2018-12-01|Exit|Lower Level
2018-12-01T00:00:00,Exit,Upper Level,1095222,2018-12-01|Exit|Upper Level
2016-08-01T00:00:00,Entry,Lower Level,1473543,2016-08-01|Entry|Lower Level
2016-08-01T00:00:00,Entry,Upper Level,1591833,2016-08-01|Entry|Upper Level
2016-08-01T00:00:00,Exit,Lower Level,2216259,2016-08-01|Exit|Lower Level
2016-08-01T00:00:00,Exit,Upper Level,1016139,2016-08-01|Exit|Upper Level
2017-12-01T00:00:00,Entry,Lower Level,1354040,2017-12-01|Entry|Lower Level
2017-12-01T00:00:00,Entry,Upper Level,1557540,2017-12-01|Entry|Upper Level
2017-12-01T00:00:00,Exit,Lower Level,2053541,2017-12-01|Exit|Lower Level
2017-12-01T00:00:00,Exit,Upper Level,1026515,2017-12-01|Exit|Upper Level
2018-02-01T00:00:00,Entry,Lower Level,1119310,2018-02-01|Entry|Lower Level
2018-02-01T00:00:00,Entry,Upper Level,1338592,2018-02-01|Entry|Upper Level
2018-02-01T00:00:00,Exit,Lower Level,1649881,2018-02-01|Exit|Lower Level
2018-02-01T00:00:00,Exit,Upper Level,890673,2018-02-01|Exit|Upper Level
2018-07-01T00:00:00,Entry,Lower Level,1532758,2018-07-01|Entry|Lower Level
2018-07-01T00:00:00,Entry,Upper Level,1631884,2018-07-01|Entry|Upper Level
2018-07-01T00:00:00,Exit,Lower Level,2163540,2018-07-01|Exit|Lower Level
2018-07-01T00:00:00,Exit,Upper Level,1058341,2018-07-01|Exit|Upper Level
2018-10-01T00:00:00,Entry,Lower Level,1374869,2018-10-01|Entry|Lower Level
2018-10-01T00:00:00,Entry,Upper Level,1570154,2018-10-01|Entry|Upper Level
2018-10-01T00:00:00,Exit,Lower Level,1957813,2018-10-01|Exit|Lower Level
